Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
162,"E Leslie, R Wilson","Sheltering in place and domestic violence: Evidence from calls for service during COVID-19",2020,"Journal of Public Economics","Elsevier","https://www.sciencedirect.com/science/article/pii/S0047272720301055","https://scholar.google.com/scholar?cites=17227817688328946783&as_sdt=2005&sciodt=0,5&hl=en",11,"2021-09-29 11:06:12","HTML","","","",,,,,162,162.00,81,2,1,"… Most child maltreatment by parents or caretakers is managed by welfare agencies, while law enforcement handles abuse by out-of-home perpetrators (Gateway, 2019). Consequently, police calls for service for abuse incidents are likely to be a better measure of reports of child …","https://www.sciencedirect.com/science/article/pii/S0047272720301055","https://scholar.google.com/scholar?q=related:X8QJIOmAFe8J:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
0,"C Lum, CS Koper, X Wu","Can We Really Defund the Police? A Nine-Agency Study of Police Response to Calls for Service",2021,"Police Quarterly","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/10986111211035002","",12,"2021-09-29 11:06:12","","10.1177/10986111211035002","","",,,,,0,0.00,0,3,1,"The protests following the killing of George Floyd in the summer of 2020 led to contentious discussions and debates in many cities about policing, with some calling to “defund the police.” However, this debate has generally proceeded without adequate research about …","https://journals.sagepub.com/doi/pdf/10.1177/10986111211035002",""
45,"JL LeBeau","The impact of a hurricane on routine activities and on calls for police service: Charlotte, North Carolina, and Hurricane Hugo",2002,"Crime Prevention and Community Safety","Springer","https://link.springer.com/article/10.1057/palgrave.cpcs.8140114","https://scholar.google.com/scholar?cites=6260558900311456594&as_sdt=2005&sciodt=0,5&hl=en",13,"2021-09-29 11:06:12","","10.1057/palgrave.cpcs.8140114","","",,,,,45,2.37,45,1,19,"Cohen and Felson's routine activity theory asserts that crime occurs when motivated offenders converge in time and space with targets lacking capable guardianship. Crime is a product of our normal everyday routines. This research examines how Hurricane Hugo …","","https://scholar.google.com/scholar?q=related:Unt5ZCb54VYJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
33,"DA Kessler","Integrating calls for service with community-and problem-oriented policing: A case study",1993,"Crime & Delinquency","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0011128793039004005","https://scholar.google.com/scholar?cites=9132214861704491724&as_sdt=2005&sciodt=0,5&hl=en",14,"2021-09-29 11:06:12","","10.1177/0011128793039004005","","",,,,,33,1.18,33,1,28,"Police administrators argue that they cannot experiment with reforms because of calls-for-service demand and lack of resources. This article looks at police staffing levels needed for a district operating under various models of police administration, such as the professional …","https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/cadq39&section=37","https://scholar.google.com/scholar?q=related:zHJwPAglvH4J:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
34,"KD Quinet, S Nunn","Illuminating crime: The impact of street lighting on calls for police service",1998,"Evaluation Review","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0193841X9802200603","https://scholar.google.com/scholar?cites=14862662932780633501&as_sdt=2005&sciodt=0,5&hl=en",15,"2021-09-29 11:06:12","","10.1177/0193841X9802200603","","",,,,,34,1.48,17,2,23,"This study reports on an evaluation of the effects of street lights on crime in several Indianapolis neighborhoods. Crime was measured in terms of calls for police service (CFS). Using a quasi-experimental design, we performed analyses on four multiblock areas, three …","https://popcenter.asu.edu/sites/default/files/154-quinet_and_nunn_1998.pdf","https://scholar.google.com/scholar?q=related:nU3BDDHJQs4J:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
10,"AD Vaughan, M Ly, MA Andresen, K Wuschke, ...","Concentrations and specialization of mental health–Related calls for police service",2018,"Victims & …","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/15564886.2018.1512539","https://scholar.google.com/scholar?cites=5616231332030085135&as_sdt=2005&sciodt=0,5&hl=en",16,"2021-09-29 11:06:12","","10.1080/15564886.2018.1512539","","",,,,,10,3.33,2,5,3,"Over the past two decades, research has consistently shown that criminal activity concentrates at places. Places also exhibit specialization in criminal activity, largely based on criminal opportunities. However, recent research has also shown that criminal events are …","","https://scholar.google.com/scholar?q=related:D3gS8qPc8E0J:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
62,"G Antunes, EJ Scott","Calling the cops: Police telephone operators and citizen calls for service",1981,"Journal of criminal justice","Elsevier","https://www.sciencedirect.com/science/article/pii/0047235281900209","https://scholar.google.com/scholar?cites=9365343103241741427&as_sdt=2005&sciodt=0,5&hl=en",17,"2021-09-29 11:06:12","","","","",,,,,62,1.55,31,2,40,"Citizen calls for police service represent direct demands on government. It is the job of police phone operators to translate these demands into official, bureaucratically recognized inputs. As “street-level” bureaucrats, police phone operators enjoy considerable discretion in …","https://scholar.google.com/scholar?output=instlink&q=info:c-RgxO5h-IEJ:scholar.google.com/&hl=en&as_sdt=0,5&scillfp=4795919569310962537&oi=lle","https://scholar.google.com/scholar?q=related:c-RgxO5h-IEJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
15,"JP Brooks, DJ Edwards, TP Sorrell, ...","Simulating calls for service for an urban police department",2011,"Proceedings of the …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6147892/","https://scholar.google.com/scholar?cites=3147929438745762744&as_sdt=2005&sciodt=0,5&hl=en",18,"2021-09-29 11:06:12","","","","",,,,,15,1.50,4,4,10,"Police departments in the United States strive to schedule officers so that a number of benchmarks are met. The police administration is often asked to justify to local governing bodies the size of the police force. To assess the effects of force size and scheduling …","https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.416.3618&rep=rep1&type=pdf","https://scholar.google.com/scholar?q=related:uJtvZiWxrysJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
13,"K Shore, JAA Lavoie","Exploring mental health-related calls for police service: a Canadian study of police officers as 'frontline mental health workers'",2019,"Policing: A Journal of Policy and practice","academic.oup.com","https://academic.oup.com/policing/article-abstract/13/2/157/4961496","https://scholar.google.com/scholar?cites=16226816173895184394&as_sdt=2005&sciodt=0,5&hl=en",19,"2021-09-29 11:06:12","","","","",,,,,13,6.50,7,2,2,"Official police data from a Canadian city were used to provide insight into calls for police service that were primarily related to mental health concerns (N= 400). People with mental illness (PMI) consumer demographics, situation features, and outcomes of these interactions …","https://academic.oup.com/policing/article/13/2/157/4961496","https://scholar.google.com/scholar?q=related:CvCVOFY7MeEJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
1,"J Koziarski","Examining the spatial concentration of mental health calls for police service in a small city",2021,"Policing: A Journal of Policy and Practice","academic.oup.com","https://academic.oup.com/policing/article-abstract/15/2/1011/6054281","https://scholar.google.com/scholar?cites=7155096458143375742&as_sdt=2005&sciodt=0,5&hl=en",20,"2021-09-29 11:06:12","","","","",,,,,1,1.00,1,1,1,"In recent years, police services have begun deploying more robust responses to calls for service involving persons with perceived mental illness (PwPMI), but at times do so in a limited capacity because of various challenges. Drawing from established evidence-based …","https://academic.oup.com/policing/article-pdf/15/2/1011/39903787/paaa093.pdf","https://scholar.google.com/scholar?q=related:fqFKwVECTGMJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
150,"EM Kurtz, BA Koons, RB Taylor","Land use, physical deterioration, resident-based control, and calls for service on urban streetblocks",1998,"Justice Quarterly","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/07418829800093661","https://scholar.google.com/scholar?cites=7401777250124452588&as_sdt=2005&sciodt=0,5&hl=en",21,"2021-09-29 11:06:12","","10.1080/07418829800093661","","",,,,,150,6.52,50,3,23,"… police service. We hypothesize that land use is a key factor influencing both resident-based control and physical deterioration and that these, in turn, are related to calls for ser- vice. Analyses show that the presence of storefronts is the strongest deter- minant of calls for service …","https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/jquart15&section=13","https://scholar.google.com/scholar?q=related:7FI8VDFluGYJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
26,"L Charkoudian","A quantitative analysis of the effectiveness of community mediation in decreasing repeat police calls for service",2005,"Conflict Resolution Quarterly","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/crq.126","https://scholar.google.com/scholar?cites=12938142425178987600&as_sdt=2005&sciodt=0,5&hl=en",22,"2021-09-29 11:06:12","","10.1002/crq.126","","",,,,,26,1.63,26,1,16,"Across the United States, police officers are often called on to deal with neighborhood disputes, ranging from minor disagreement to violent con- frontation. Police response may stop the confrontation for the moment … CONFLICT RESOLUTION QUARTERLY, vol. 23, no. 1 …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/crq.126","https://scholar.google.com/scholar?q=related:UFw0ivyDjbMJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
82,"SH Decker, SP Varano, JR Greene","Routine crime in exceptional times: The impact of the 2002 Winter Olympics on citizen demand for police services",2007,"Journal of criminal justice","Elsevier","https://www.sciencedirect.com/science/article/pii/S0047235206001462","https://scholar.google.com/scholar?cites=5424112390955792158&as_sdt=2005&sciodt=0,5&hl=en",23,"2021-09-29 11:06:12","HTML","","","",,,,,82,5.86,27,3,14,"Despite their rich theoretical and practical importance, criminologists have paid scant attention to the patterns of crime and the responses to crime during exceptional events. Throughout the world large-scale political, social, economic, cultural, and sporting events …","https://www.sciencedirect.com/science/article/pii/S0047235206001462","https://scholar.google.com/scholar?q=related:Hve2PHtRRksJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
154,"DA Klinger, GS Bridges","Measurement error in calls‐for‐service as an indicator of crime",1997,"Criminology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1745-9125.1997.tb01236.x","https://scholar.google.com/scholar?cites=16182994956361716774&as_sdt=2005&sciodt=0,5&hl=en",24,"2021-09-29 11:06:12","","10.1111/j.1745-9125.1997.tb01236.x","","",,,,,154,6.42,77,2,24,"… CALLS-FOR-SERVICE 709 caller inaccuracy, plus error resulting from crimes that come to police attention through means other than calls to dispatch centers, may bias crime counts based on calls for police service. Using data from an obser- vational study of policing in 60 …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1745-9125.1997.tb01236.x","https://scholar.google.com/scholar?q=related:JtTg7yuMleAJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
3,"R Simpson","Calling the police: Dispatchers as important interpreters and manufacturers of calls for service data",2021,"Policing: A Journal of Policy and Practice","academic.oup.com","https://academic.oup.com/policing/article-abstract/15/2/1537/5900878","https://scholar.google.com/scholar?cites=13466296859297461553&as_sdt=2005&sciodt=0,5&hl=en",25,"2021-09-29 11:06:12","","","","",,,,,3,3.00,3,1,1,"Policing has historically been conceptualized as a team sport which requires the work of many to produce the output of one. Although police officers have been the focus of much policing research, it is important to recognize that the work of officers hinges upon the work …","https://academic.oup.com/policing/article-pdf/15/2/1537/39903626/paaa040.pdf","https://scholar.google.com/scholar?q=related:MTViYqXl4boJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
13,"H Luan, M Quick, J Law","Analyzing local spatio-temporal patterns of police calls-for-service using Bayesian integrated nested Laplace approximation",2016,"ISPRS International Journal of Geo-Information","mdpi.com","https://www.mdpi.com/155656","https://scholar.google.com/scholar?cites=3601138912313302125&as_sdt=2005&sciodt=0,5&hl=en",26,"2021-09-29 11:06:12","","","","",,,,,13,2.60,4,3,5,"This research investigates spatio-temporal patterns of police calls-for-service in the Region of Waterloo, Canada, at a fine spatial and temporal resolution. Modeling was implemented via Bayesian Integrated Nested Laplace Approximation (INLA). Temporal patterns for two …","https://www.mdpi.com/2220-9964/5/9/162/pdf","https://scholar.google.com/scholar?q=related:bVxF18LQ-TEJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
27,"S Meyer, RH Carroll","When officers die: understanding deadly domestic violence calls for service",2011,"Police Chief","ncdsv.org","http://ncdsv.org/images/PC_WhenOfficersDieUnderstandingDeadlyDVCallsForService_5-2011.pdf","https://scholar.google.com/scholar?cites=14169928372303607681&as_sdt=2005&sciodt=0,5&hl=en",27,"2021-09-29 11:06:12","PDF","","","",,,,,27,2.70,14,2,10,"By Shannon Meyer, PhD, Victim Specialist, Seattle Division, Federal Bureau of Investigation; and Randall H. Carroll, Chief of Police (Retired), Bellingham, Washington, Police Department and President, Profectus Consulting etween 1996 and 2009, 771 law …","http://ncdsv.org/images/PC_WhenOfficersDieUnderstandingDeadlyDVCallsForService_5-2011.pdf","https://scholar.google.com/scholar?q=related:gbfic8eypcQJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
25,"AD Vaughan, AN Hewitt, MA Andresen, ...","Exploring the role of the environmental context in the spatial distribution of calls-for-service associated with emotionally disturbed persons",2016,"Policing: A journal of …","academic.oup.com","https://academic.oup.com/policing/article-abstract/10/2/121/1753152","https://scholar.google.com/scholar?cites=13003516433142502288&as_sdt=2005&sciodt=0,5&hl=en",28,"2021-09-29 11:06:12","","","","",,,,,25,5.00,6,4,5,"A subset of persons with mental illness is at risk for becoming involved with the police, and an even smaller subset of emotionally disturbed persons (EDP) has multiple contacts over time. Not much is known, however, about the nature of these contacts and how the patterns …","https://academic.oup.com/policing/article/10/2/121/1753152","https://scholar.google.com/scholar?q=related:kNNp5EzFdbQJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
10,"R Simpson, JR Hipp","What came first: the police or the incident? Bidirectional relationships between police actions and police incidents",2019,"Policing and society","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/10439463.2017.1405957","https://scholar.google.com/scholar?cites=17216226736564161285&as_sdt=2005&sciodt=0,5&hl=en",29,"2021-09-29 11:06:12","","10.1080/10439463.2017.1405957","","",,,,,10,5.00,5,2,2,"… Numerous studies have examined the use of foot patrol in policing … of the levels of foot patrol in their neighbourhood than the levels of vehicle patrol (Police Foundation 1981 … four-year period) found that beats that had greater foot patrol had fewer priority calls for service, but that …","https://www.tandfonline.com/doi/pdf/10.1080/10439463.2017.1405957","https://scholar.google.com/scholar?q=related:BUt9XQBT7O4J:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
