record_id,type_of_reference,primary_title,publication_year,keywords,alternate_title3,volume,number,start_page,end_page,url,notes,notes_abstract,first_authors,language,place_published,doi,publisher,issn,unknown_tag,edition,included,asreview_ranking
1333,JOUR,Exploring the geography of suicide threats and suicide attempts: An application of Risk Terrain Modeling,2020,"ASSOCIATION, COMORBIDITY, CRIME, DISORDERS, DURKHEIM, MENTAL-HEALTH, RATES, Risk terrain modeling, Self harm, Spatial, Suicide, Suicide attempts",SOCIAL SCIENCE & MEDICINE,249,NA,NA,NA,NA,NA,"The purpose of this research is twofold: first, the spatial distribution of 911 emergency calls for service to the police for suicides in progress and threats of suicide in the City of Detroit, Michigan will be explored to determine whether these events exhibit different patterns of spatial clustering. Second, this research will explore the utility of Risk Terrain Modeling (RTM) to assist in our understanding of the locations of calls for service to the police related to suicide threats and suicides in progress. The results suggest that these events are different social phenomenon, both with respect to the spatial clustering of these events as well as qualitative differences in the environmental factors that may contribute to their occurrence. NR  - 49 PU  - PERGAMON-ELSEVIER SCIENCE LTD PI  - OXFORD PA  - THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","Lersch, K M",English,NA,10.1016/j.socscimed.2020.112860,NA,NA,NA,NA,1,30
716,CONF,Patterns of Crime in the Areas Surrounding Boston's Subway Stations.,2006,"BOSTON (Mass.), CRIME prevention, CRIMINAL methods, LAND use -- Social aspects, MASSACHUSETTS, SAFETY, SUBWAY stations",Conference Papers -- American Society of Criminology,NA,NA,1,2,https://search.ebscohost.com/login.aspx?direct=true&db=cja&AN=26955296&site=ehost-live,"Accession Number: 26955296; Giordano, Lauren 1; Email Address: l.giordano@neu.edu; Affiliations: 1 : Northeastern University; Source Info: 2006 Annual Meeting, p1; Subject Term: SUBWAY stations; Subject Term: CRIMINAL methods; Subject Term: CRIME prevention; Subject Term: LAND use -- Social aspects; Subject Term: SAFETY; Subject: BOSTON (Mass.); Subject: MASSACHUSETTS; Number of Pages: 01p; Document Type: Conference Paper","A growing body of criminological literature has revealed that public transit systems may be regarded as trouble spots for criminal activity. Transit systems attract a wide variety of people for a number of different reasons. They may consequently provide an overabundance of criminal opportunities to potential offenders, consistent with the routine activities approach. Much of the research dealing with crime on public transit has focused on analyzing crime occurring within the stations. Additional research has however, concentrated on analyzing crime patterns within small geographic areas immediately surrounding these public transit stations. The specific land use patterns around these stations may also contribute to the amount of crime occurring there. Buckley (1996) examined the number and types of crime, in addition to land use patterns, at various radii of distance surrounding nine light rail ""Skytrain"" stations in Vancouver, British Columbia, Canada. The present study utilizes police calls for service data and information regarding land use patterns in order to explore/explain the amount and types of crime occurring within varying distance radii around 16 of the MBTA ""Orange Line"" subway stations in Boston, Massachusetts. ..PAT.-Unpublished Manuscript [ABSTRACT FROM AUTHOR]","Giordano, Lauren",NA,NA,NA,NA,NA,NA,NA,1,31
2120,JOUR,"A Spatiotemporal Analysis of Heroin-Related Calls for Emergency Medical Services and Community-Health Centers in Boston, Massachusetts",2020,"ACCESS, Community health care centers, DISORDER, ENVIRONMENT, Heroin related injury, OVERDOSE MORTALITY, Physical and social vulnerability, RISK, Spatio-temporal analysis",APPLIED SPATIAL ANALYSIS AND POLICY,13,2,507,525,NA,NA,"Using a combination of data derived from the U.S. Census Bureau, the Substance Abuse and Mental Health Service Administration's Behavioral Health Systems Locator and the Boston Police Department's Incident Reports, this study examines the spatio-temporal distribution of calls for medical assistance following a heroin-related injury between 2015 and 2018. As well, an examination is conducted regarding the accessibility of Health Care Centers (HCCs) in relation to individuals in need of medical assistance. Distance-based measures of spatial association, including nearest neighbor and K-function analysis, were used to determine the clustering of calls at various spatial scales. Structural neighborhood characteristics (i.e., distance to the closest HCC) and physical and social vulnerability were used to predict the rate of calls for a heroin-related injury per 1,000 persons in the city of Boston using a spatial autoregressive model. HCC catchment areas for the set of medical emergency calls were created using Voronoi tessellations. Results showed that the average nearest neighbor distance (NND) of each call for medical assistance was approximately 187 m or .12 miles. Calls for assistance became more probable and increasingly more spatially concentrated over the study period. The K-function analysis revealed that the calls clustered at different spatial scales and in proximity to HCCs. Average distance to the nearest HCC and Household/Disability vulnerability were significantly associated with the census tract call rate per 1,000 persons. The average travel distance between the calls for medical assistance and the nearest HCC was 941 m, or just over a half-mile. Policy implications for the provision, through HCCs, of a focused and comprehensive community-based support system in a large urban city for individuals with serious drug problems are discussed in context. NR  - 38 PU  - SPRINGER PI  - DORDRECHT PA  - VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS","Barboza, G E",English,NA,10.1007/s12061-019-09315-5,NA,NA,NA,NA,1,32
2163,JOUR,A method of identifying dark-time crime locations for street lighting purposes,2018,"CALLS, CRIMINOLOGY, Clustering analysis, Daytime/nighttime crime, ESCAPE, FEAR, POLICE SERVICE, PROSPECT, Street lighting, Violent crime",CRIME PREVENTION & COMMUNITY SAFETY,20,1,47,62,NA,NA,"Research on the effect of street lighting on crime and fear of crime has received much attention, especially between 1970s and early 2000s. Yet no study has documented an empirical method for choosing where to best site street lights for the purpose of crime prevention. This study describes a statistical clustering method (Kohonen's SOM) that can be used to identify microplaces where crimes mostly occur during nighttime within stable crime hot spots. The results of this clustering analysis were visually examined and compared with streets, which are located near the University of Cincinnati West Campus and selected for lighting during early 2014. The findings revealed temporal patterns of crime within crime hot spots. In addition, there is a substantial overlap between the areas identified as heavily darktime locations by clustering analysis and previously lighted streets determined by the city of Cincinnati managers. Implications of the study are discussed in conclusions. NR  - 51 PU  - PALGRAVE MACMILLAN LTD PI  - BASINGSTOKE PA  - BRUNEL RD BLDG, HOUNDMILLS, BASINGSTOKE RG21 6XS, HANTS, ENGLAND","Deryol, R, Payne, T C",English,NA,10.1057/s41300-017-0035-2,NA,NA,NA,NA,1,33
1780,JOUR,The spatial context of the disorder-crime relationship in a study of Reno neighborhoods,2014,"ATTACHMENT, BROKEN WINDOWS THEORY, Broken windows, COLLECTIVE EFFICACY, Disorder, FEAR, HOMICIDE, MULTILEVEL, Neighborhoods, PERCEPTIONS, RATES, SOCIAL-DISORGANIZATION, Social disorganization, Spatial effects, VIOLENT-CRIME, Violent crime",SOCIAL SCIENCE RESEARCH,43,NA,168,183,NA,NA,"This study extends the current research on the relationship between neighborhood disorder and violent crime rates by incorporating spatial effects and the reciprocal relationship between disorder and violent crime. In particular, we test for both the potential effect of disorder on violence as well as how changes in violent crime rates can impact neighborhood levels of disorder. We control for a variety of factors related to social disorganization theory that can lead to crime and potentially disorder. In order to disentangle these relationships, we use a cross-lagged auto-regressive structural equation model and a unique dataset comprised of calls for police service and reported incidents for 117 neighborhoods in Reno, NV. We find that higher rates of disorder lead to significant, but modest, increases in violent crime, but only aggravated assaults lead to increases in disorder. These effects hold true above and beyond the effect of social disorganization and the influence of spatially proximate neighborhoods. (C) 2013 Elsevier Inc. All rights reserved. NR  - 75 PU  - ACADEMIC PRESS INC ELSEVIER SCIENCE PI  - SAN DIEGO PA  - 525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA","Boggess, L N, Maskaly, J",English,NA,10.1016/j.ssresearch.2013.10.002,NA,NA,NA,NA,1,34
1763,JOUR,Emergency calls during the 2013 southern Ontario ice storm: case study of Vaughan,2019,2013 Southern Ontario ice storm City of Vaughan Co,International Journal of Emergency Services,8,3,292,314,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068059042&doi=10.1108%2FIJES-01-2019-0004&partnerID=40&md5=5d50b455697adc9b50a018fa7a5e2170,"Cited By :2, Export Date: 19 August 2021, Correspondence Address: Asgary, A.; Department of Emergency Management Program, Canada; email: asgary@yorku.ca","Purpose: Responding to emergency incidents by emergency response organizations such as fire, ambulance and police during large disaster and emergency events is very important. The purpose of this paper is to provide some insights into response patterns during the 2013 ice storm in the city of Vaughan, Ontario, Canada, using temporal and spatial analyses. Design/methodology/approach: The City of Vaughan Fire and Rescue Service data set containing all responses to fire and other emergency incidents from January 1, 2009 to December 31, 2016 was used. The 2013 Southern Ontario ice storm occurred from December 20, 2013 to January 1, 2014, and, for this study, December 20â31 is considered the âstudy period.â Temporal, spatial and spatiotemporal analyses of responses during the study period are carried out and are compared with the same period in other years (2009â2012 and 2014â2016). Findings: The findings show that temporal patterns of response attributes changed significantly during the 2013 ice storm. Similarly, the spatial pattern of responses during the 2013 ice storm showed some major differences with other years. The spatiotemporal analyses also demonstrate significant variations in responses in the city during different hours of the day in the ice storm days. Originality/value: This study is the first study to examine the spatiotemporal patterns of responses made by a fire department during the 2013 ice storm in Canada. It provides some insights into the differences between response volumes, temporal and spatial distributions during large emergency events (e.g. ice storm) and normal situations. The results will help in mitigating the number of responses in the future through public education and technological changes. Moreover, the results will provide fire departments with information that could help them prepare for such events by possible reallocation of resources. Â© 2019, Emerald Publishing Limited.","Shafiei Sabet, M, Asgary, A, Solis, A O",English,"York University, Toronto, Canada Department of Emergency Management Program, York University, Toronto, Canada School of Administrative Studies, York University, Toronto, Canada",10.1108/IJES-01-2019-0004,NA,NA,NA,NA,1,35
873,JOUR,Emergency mental health calls to first responders following a natural disaster: Examining the effects from Hurricane Harvey,2021,"Disaster, emergency medical services, police, psychiatry",INTERNATIONAL JOURNAL OF ACADEMIC MEDICINE,7,1,22,29,NA,NA,"Introduction: Hurricane Harvey which made landfall on August 25, 2017 was a devastating storm that dumped unprecedented amount of rainfall on the area including Houston, Texas, United States of America. There are limited data about emergency service mental health utilization following disaster events. The goal for this project was to examine mental health calls to emergency medical services (EMS) and to the Houston Police Department following Hurricane Harvey. An analysis looking at this utilization following a natural disaster represents an understudied area and can potentially provide information about city services and community psychiatric services in the acute period following the event. Materials and Methods: Total number of calls to the police department and mental health calls to the police department described as crisis intervention calls (Crisis Intervention Team) were obtained from August 1, 2016 to October 31, 2016 and January 1, 2017 to December 31, 2017. Emergency detention orders (EDO) per date were obtained from January 1, 2017 to December 31, 2017. Data for mental health calls based on the primary impression of mental health complaint were obtained from the Houston Fire Department for EMS from January 1, 2016 to December 31, 2017. Results: There was a statistically significant increase in the number of mental health calls to the police following Hurricane Harvey. When comparing the prestorm, active storm, and poststorm period, there was not a statistically significant difference in the number of EDOs or the number of EMS mental health calls. Conclusions: The increase in police mental health calls suggests that there may have been an increase in the acuity of the mental health calls to EMS around in evaluating calls surrounding the period of Hurricane Harvey. The following core competencies are addressed in this article: Medical Knowledge and Patient Care. FU  - U.S. Department of Health and Human Services and Health Resources and Services Administration [D34HP31024] FX  - This research was funded by U.S. Department of Health and Human Services and Health Resources and Services Administration, grant number D34HP31024. NR  - 24 PU  - WOLTERS KLUWER MEDKNOW PUBLICATIONS PI  - MUMBAI PA  - WOLTERS KLUWER INDIA PVT LTD , A-202, 2ND FLR, QUBE, C T S  NO 1498A-2 VILLAGE MAROL, ANDHERI EAST, MUMBAI, 400059, INDIA","Saunders, J, Dongarwar, D, Salemi, J, Schulte, J, Persse, D, Matin, A, Banu, S, Shah, A",English,NA,10.4103/IJAM.IJAM_71_20,NA,NA,NA,NA,1,36
2025,JOUR,Noise disturbances and calls for police service in valÃ¨ncia (Spain): A logistic model with spatial and temporal effects,2019,GIS Logistic regression Noise disturbances Residen,International Journal of Environmental Research and Public Health,16,16,NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071187531&doi=10.3390%2Fijerph16162815&partnerID=40&md5=42b02668a2c3cd75d9cc715301814fc3,"Export Date: 19 August 2021, Correspondence Address: Montes, F.; Department of Statistics and Operations Research, Spain; email: Francisco.Montes@uv.es","The purpose of this paper is to explore the presence of spatial and temporal effects on the calls for noise disturbance service reported to the Local Police of ValÃ¨ncia (Spain) in the time period from 2014 to 2015, and investigate how some socio-demographic and environmental variables affect the noise phenomenon. The analysis is performed at the level of ValÃ¨nciaâs boroughs. It has been carried out using a logistic model after dichotomization of the noise incidence variable. The spatial effects consider first-and second-order neighbors. The temporal effects are included in the model by means of one-and two-week temporal lags. Our model confirms the presence of strong spatio-temporal effects. We also find significant associations between noise incidence and specific age groups, socio-economic status, land uses, and recreational activities, among other variables. The results suggest that there is a problem of ""social"" noise in ValÃ¨ncia that is not exclusively a consequence of coexistence between local residents. External factors such as the increasing number of people on the streets during weekend nights or during summer months severely increase the chances of expecting a noise incident. Â© 2019 by the authors. Licensee MDPI, Basel, Switzerland.","SeguÃ­, L, Iftimi, A, Briz-RedÃ³n, Ã, MartÃ­nez-Garay, L, Montes, F",English,"Department of Statistics and Operations Research, University of ValÃ¨ncia, Burjassot, 46100, Spain Health Services Research Unit, Foundation for the Promotion of Health and Biomedical Research of ValÃ¨ncia Region (FISABIO), ValÃ¨ncia, 46020, Spain INCLIVA He",10.3390/ijerph16162815,NA,NA,NA,NA,1,37
83,JOUR,Calling for Service: Mobilization of the Police Across Sociocultural Environments.,2004/03,"CONSTABLES, CRIMINAL justice system, CRIMINAL law, Calls for Service, Caribbean, JURISDICTION, POLICE, Police",Police Practice & Research,5,1,25,41,http://10.0.4.56/1561426042000191314,"Accession Number: 12660751; Bennett, Richard R.; Source Info: Mar2004, Vol. 5 Issue 1, p25; Subject Term: POLICE; Subject Term: JURISDICTION; Subject Term: CONSTABLES; Subject Term: CRIMINAL law; Subject Term: CRIMINAL justice system; Author-Supplied Keyword: Calls for Service; Author-Supplied Keyword: Caribbean; Author-Supplied Keyword: Police; Number of Pages: 17p; Document Type: Article","Although researchers have investigated the nature and distribution of routine police activity over the past 30 years, surprisingly few analyses have explained the observed variation in these activities over time and even fewer have examined variations across jurisdictions. This research explores the nature and distribution of police activity through citizen calls for service in three developing nations of the Caribbean region. It is argued that the social and political context of the jurisdiction determines, at the margins, the nature of citizen calls for police service. That is, for non-serious crime and other services, citizens' calls for police services are predicated upon the nature of the relationship between the citizenry and the police. This study analyzes calls for service data from three Caribbean nations: Barbados, Trinidad and Tobago, and Jamaica. The nature and distribution of the calls are analyzed in relationship to the constables' perceptions of their legitimacy in the eyes of the citizenry. The findings indicate that the nature of citizen calls for service are related to these perceptions of legitimacy. That is, the more the sensed legitimacy of the police, the greater the citizens' tendency to initiate calls for services that do not involve serious criminal incidents. The policy implications of these findings for police work in developing nations are presented and discussed. [ABSTRACT FROM AUTHOR]","Bennett, Richard R",NA,NA,NA,NA,NA,NA,NA,1,38
1750,JOUR,The spatial distribution of robbery and the socioeconomic context in three sectors of Mexico City: Elements toward the design of public safety policy,2018,Crime prevention Mexico City Robbery crime multipl,Gestion y Politica Publica,26,2,417,451,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047518090&partnerID=40&md5=246f6acb5ba37122ceff88d5ec1c7d8b,"Cited By :4, Export Date: 19 August 2021","The robbery is one of the main crimes in Mexico City. The policies implemented by the police bodies are focalized in reactive actions and few had been made from a prevention perspective. The theoretical background is provided by the routine activities and crime patterns. To measure the relationship a multiple regression model was test. The data include criminal warrants of robbery (PGJDF, 2010) and other socioeconomic variables (INEGI, 2010), both at census tract level. The methodology used is a Geographic Weighted Regression (GWR). The results of the spatial regression model show that commerce and service land use, public transportation stations and the percentage of male population of 18 to 24 years old increase significantly the opportunities to commit a robbery. The results provide some guiding for the design of security public policies focused on the prevention of the criminal activity. Â© 2018, Centro de Investigacion y Docencia Economicas A.C. All rights reserved.","Fuentes Flores, C M, SÃ¡nchez Salinas, O A",Spanish,"Departamento de Estudios Urbanos y del Medio Ambiente de El Colegio, Frontera Norte en la sede de Ciudad JuÃ¡rez, Av. Insurgentes 3708, Fraccionamiento Los Nogales, Ciudad JuÃ¡rez, Chihuahua 32350, Mexico SecretarÃ­a de Seguridad PÃºblica de la Ciudad de MÃ©xi",NA,NA,NA,NA,NA,1,39
3032,JOUR,The fractal dimension of policing,1998,"CRIME, MODEL, PATROL, TRENDS",JOURNAL OF CRIMINAL JUSTICE,26,5,425,435,NA,NA,"Crime is inherent in our society and the routine activities of everyday life ensure that circumstances will be created that will facilitate criminal behavior The very nature of society-the need to go out and work and interact with others-initiates processes and situations that will encourage some people to be deviant and others to become victims. Criminal victimization is a deterministic part of our society but who will fall victim and who will become the offender remains uncertain. Crime, therefore, is characterized both by randomness and determinism, a situation that suggests the application of chaos theory for its study. This article argues that crime is a complex event that is the culmination of several processes emanating from the past. A method called R/S technique, based upon chaos theory is used in an attempt to provide a different insight into the phenomenon of temporal crime data. This analysis uses an illustrative example to demonstrate that police calls for service data have a memory effect that can be identified by its fractal dimension. The technique suggests a new way to look at how the police system is functioning and raises questions about the situational factors. (C) 1998 Elsevier Science Ltd. NR  - 59 PU  - PERGAMON-ELSEVIER SCIENCE LTD PI  - OXFORD PA  - THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","Verma, A",English,NA,10.1016/S0047-2352(98)00021-X,NA,NA,NA,NA,1,40
2815,JOUR,What does Gunshot Detection Technology tell us about gun violence?,2017,"Calls for service, Gun violence, Gunshot Detection Technology, SEVERITY, SYSTEMS, Spatial, Temporal, VICTIMIZATION",APPLIED GEOGRAPHY,86,NA,262,273,NA,NA,"Purpose: Evaluate the sensitivity of Gunshot Detection Technology (GDT) relative to Calls for Service. Existing crime data sources have biases that do not present a complete picture of gun-related crime. GDT may offer a new metric for firearm crimes. However, few studies have assessed the accuracy of GDT and its relationship to other measures of violence. Methods: GDT and gun crime-related Calls for Service in Washington, DC during 2010 were studied. Using temporal comparisons for month, day of year, weekday, and hour of the day, spatial comparisons on a quarter-mile square grid, and a Poisson-Lognormal-CAR spatial regression model on a combined grid by time period dataset, we examined the sensitivity of GDT activations relative to gunshot-related calls for service. Results: The results showed that relative GDT sensitivity changed by time and by space. In particular, the relative sensitivity of GDT was much stronger in the evening and at nighttime than in the daytime. In terms of spatial variation, we found that GDT sensitivity decreased with distance from the nearest zone centroid. In addition, there were two small geographic areas in the study area in which the relative GDT sensitivity was lower than expected. Conclusions: GDT systems identify the frequency and locational accuracy of gunshot incidents, particularly at nighttime. This technology has the potential to improve data collection on gun use and violence and produce more accurate representations if the temporal and distance limitations of the technology are understood. GDT may improve gun detection and, thereby, improve police operations and public support for police. (C) 2017 Elsevier Ltd. All rights reserved. FU  - National Institute of Justice, U.S. Department of Justice [2012-R2-CX-0001] FX  - This research was supported by Award No. 2012-R2-CX-0001 awarded by the National Institute of Justice, U.S. Department of Justice. We would like to thank our NU program officer Eric D. Martin for his guidance and to David Chipman, James Bledrock, Mark Jones, and Joe Hawkins of ShotSpotter SST. for their insight into the operation and dynamics of DC's GDT system and its history. NR  - 41 PU  - ELSEVIER SCI LTD PI  - OXFORD PA  - THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","Irvin-Erickson, Y, La Vigne, N, Levine, N, Tiry, E, Bieler, S",English,NA,10.1016/j.apgeog.2017.06.013,NA,NA,NA,NA,1,41
187,CONF,"Government Transfer Payments and Crime in Winnipeg, Canada: An Exploratory Analysis.",2006,"CITIZEN crime reporting, LAW enforcement -- Government policy, QUALITATIVE research, QUANTITATIVE research, TRANSFER payments",Conference Papers -- American Society of Criminology,NA,NA,1,1,https://search.ebscohost.com/login.aspx?direct=true&db=cja&AN=26954974&site=ehost-live,"Accession Number: 26954974; Kohm, Steven 1; Email Address: s.kohm@uwinnipeg.ca; Weinrath, Michael 1; Email Address: m.weinrath@uwinnipeg.ca; Affiliations: 1 : University of Winnipeg; Source Info: 2006 Annual Meeting, p1; Subject Term: CITIZEN crime reporting; Subject Term: TRANSFER payments; Subject Term: LAW enforcement -- Government policy; Subject Term: QUALITATIVE research; Subject Term: QUANTITATIVE research; Number of Pages: 1p; Document Type: Conference Paper","This paper examines the link between the distribution of government transfer payments and crime patterns in Winnipeg, Canada.  The preliminary findings in this paper are drawn from a 2 year, multi-method study currently in progress which employs both qualitative and quantitative methods of analysis.  This paper will focus primarily on the quantitative analysis of police calls for service data for the years 2001 and 2003.  The approximately quarter of a million calls for service logged by the Winnipeg Police Service each year are analyzed to discern temporal patterns and fluctuations.  Individual call types are analyzed against the dates of check disbursement for all types of government transfer payments, including social assistance and old age pensions.  Seasonal, weekly and spatial variations in calls for service are also examined.  The results of the quantitative analysis are supplemented by qualitative interview data gathered from a sample of social assistance recipients and front line social assistance workers.  Both the qualitative and quantitative data suggest that patterns of crime and victimization are shaped by the timing and method of government transfer payments.  Policy implications for check distribution are discussed. ..PAT.-Unpublished Manuscript [ABSTRACT FROM AUTHOR]","Kohm, Steven, Weinrath, Michael",NA,NA,NA,NA,NA,NA,NA,1,42
177,JOUR,"Mythbusted: Using Data Mining to Assess Police Calls For Service, Offender Aggression, And The Environment.",2008,"CITIZEN crime reporting, CITIZEN participation in crime prevention, CRIMINALS, DATA mining, DATABASE searching",Conference Papers -- American Society of Criminology,NA,NA,1,1,https://search.ebscohost.com/login.aspx?direct=true&db=cja&AN=45000457&site=ehost-live,"Accession Number: 45000457; DeCarlo, John 1; Email Address: jdecarlo@snet.net; Sainato, Vincenzo 1; Email Address: vsainato@jjay.cuny.edu; Ackerman, Alissa 1,2; Email Address: alissa.ackerman@gmail.com; Affiliations: 1 : John Jay College of Criminal Justice; 2 : CUNY; Source Info: 2008 Annual Meeting, p1; Subject Term: DATA mining; Subject Term: DATABASE searching; Subject Term: CITIZEN crime reporting; Subject Term: CITIZEN participation in crime prevention; Subject Term: CRIMINALS; Number of Pages: 0p; Document Type: Article","It has been speculated for years that there are relationships and patterns between human behavior, aggression, and certain ecological, temporal and biological factors. In policing, certain ideas connecting the environment and behavior, specifically criminal and violent behaviors, have become widely mythologized. The general belief among surveyed police officers is that certain environmental and social factors such as heat, lunar cycles, and other ecological factors, affect both the quantity and quality of the incidents that they are called to. Criminological theories, including Routine Activities, CPTED, and a variety of biological concepts offer possible explanations for crime, based on the interaction of the environment and the human organism.Employing advanced data mining techniques daily call for service data and environmental data was collected from a northeastern police department (2005-2007). Patterns of behavior between crime types, volumes, quality of police calls, and environmental factors are assessed in light of prevailing theoretical and practitioner assumptions. ..PAT.-Unpublished Manuscript [ABSTRACT FROM AUTHOR]","DeCarlo, John, Sainato, Vincenzo, Ackerman, Alissa",NA,NA,NA,NA,NA,NA,NA,1,43
494,CONF,Budget motels and crime: A spatial analysis.,2006,"BUDGET hotels, CRIME prevention, CRIMINAL sociology, MOTELS, NEIGHBORHOOD change, SECURITY systems",Conference Papers -- American Society of Criminology,NA,NA,1,1,https://search.ebscohost.com/login.aspx?direct=true&db=cja&AN=26954484&site=ehost-live,"Accession Number: 26954484; Barthe, Emmanuel 1; Email Address: epbarthe@unr.edu; Leone, Matthew 2; Email Address: mleone@unr.edu; Affiliations: 1 : University of Nevada, Reno; 2 : University of Nevada - Reno; Source Info: 2006 Annual Meeting, p1; Subject Term: CRIME prevention; Subject Term: MOTELS; Subject Term: BUDGET hotels; Subject Term: CRIMINAL sociology; Subject Term: NEIGHBORHOOD change; Subject Term: SECURITY systems; Number of Pages: 1p; Document Type: Conference Paper","Situational crime prevention focuses on factors that are believed to contribute to crime. Some of these factors include the simple presence of offenders, victims, or locations conducive to criminal behavior. The presence of all three of these factors, it has been hypothesized, would create places with disproportionate rates of certain types of crime. This research examines the impact of budget motels on the generation of crime and disorder. Low budget motels offer legitimate accommodations to travelers, but they are also often used for illegitimate purposes such as drug manufacturing/trafficking and prostitution. When motels, especially those that offer ""long-term"" rentals, are used for these purposes, they may threaten the integrity of neighboring communities. Onsite-surveys of a number of motel characteristics were used for motel matching purposes, and were then compared with police calls for service for each of the motel sites. Using crime mapping and spatial analysis techniques, this research examined the extent and nature of motel crimes, and the spill-over of crime into neighboring areas. ..PAT.-Unpublished Manuscript [ABSTRACT FROM AUTHOR]","Barthe, Emmanuel, Leone, Matthew",NA,NA,NA,NA,NA,NA,NA,1,44
291,CONF,Domestic Violence: A Multi-Agency Perspective.,2005/11,"CORRECTIONS (Criminal justice administration), DOMESTIC violence, PAROLEES, POLICE, SOCIAL problems, SOCIAL structure",Conference Papers -- American Society of Criminology,NA,NA,N.PAG,N.PAG,https://search.ebscohost.com/login.aspx?direct=true&db=cja&AN=19684853&site=ehost-live,"Accession Number: 19684853; Meeker, James 1; Email Address: jwmeeker@uci.edu; Goodman, Philip 1; Email Address: pgoodman@uci.edu; Plyer, Michelle 1; Email Address: mplyer@uci.edu; Affiliations: 1 : University of California, Irvine.; Source Info: 2005 Annual Meeting, Toronto, pN.PAG; Subject Term: DOMESTIC violence; Subject Term: SOCIAL problems; Subject Term: SOCIAL structure; Subject Term: PAROLEES; Subject Term: POLICE; Subject Term: CORRECTIONS (Criminal justice administration); Number of Pages: 0p; Document Type: Conference Paper","Domestic violence is a major social problem. This problem is confronted by a variety of social organizations, including police, courts, corrections, and legal aid organizations. This analysis will use GIS to explore the spatial distribution of police domestic violence calls for service, petitions for temporary restraining orders, parolees with domestic violence backgrounds reentry locations, and legal aid domestic violence clients to test for similarities in spatial patterns. In addition, social disorder and density at the neighborhood level will be analyzed to determine their explanatory value for predicting observed patterns. Possible policy implications for these findings will be explored. [ABSTRACT FROM AUTHOR]","Meeker, James, Goodman, Philip, Plyer, Michelle",NA,NA,NA,NA,NA,NA,NA,1,45
1537,CONF,"Mining 911 calls in New York city: Temporal patterns, detection and forecasting",2015,Artificial intelligence Decision making Law enforc,"29th AAAI Conference on Artificial Intelligence, AAAI 2015",WS-15-04,NA,2,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964690935&partnerID=40&md5=5d9cc87bd65071cea7d77af08eba675e,"Conference code: 120035, Cited By :5, Export Date: 19 August 2021","The New York Police Department (NYPD) is tasked with responding to a wide range of incidents that are reported through the city's 911 emergency hotline. Currently, response resources are distributed within police precincts on the basis of high-level summary statistics and expert reasoning. In this paper, we describe our first steps towards a better understanding of 911 call activity: Temporal behavioral clustering, predictive models of call activity, and anomalous event detection. In practice, the proposed techniques provide decision makers granular information on resource allocation needs across precincts and are important components of an overall data-driven resource allocation policy. Â© 2015, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.","Chohlas-Wood, A, Merali, A, Reed, W, Damoulas, T",English,"Center for Urban Science and Progress (CUSP), New York University, United States",NA,AI Access Foundation,9781577357155 (ISBN),NA,NA,1,46
112,JOUR,Assessing the Relationship Between Alcohol Outlets and Domestic Violence: Routine Activities and the Neighborhood Environment,2012,"AVAILABILITY, COLLECTIVE EFFICACY, COMMUNITY CRIME, DENSITY, INTIMATE PARTNER VIOLENCE, LOS-ANGELES-COUNTY, MODELS, RATES, SOCIAL DISORGANIZATION THEORY, SPATIAL DYNAMICS, ecology, opportunity, spatial, time of day",VIOLENCE AND VICTIMS,27,5,811,828,NA,NA,"Studies have consistently found a positive relationship between alcohol outlet density and assault, but only a handful of studies have examined whether outlet density has an influence on domestic violence. Using a framework based in crime opportunity theories, this study estimates spatial econometric regression models to test whether the density of alcohol outlets across neighborhoods is positively associated with police calls for service for domestic violence. Models also were developed to test whether the relationships found were consistent across time periods associated with the use of alcohol outlets (weeknights and weekends). The findings indicate that off-premise outlets were associated with a significant increase in domestic violence, but on-premise outlets (specifically restaurants and nightclubs) were associated with a decrease in domestic violence. The risk for domestic violence in areas of high densities of off-premise outlets was found to be high during the weekend but not during the weeknight, suggesting different routine activities for domestic violence offenders during the week. NR  - 63 PU  - SPRINGER PUBLISHING CO PI  - NEW YORK PA  - 11 WEST 42ND STREET, NEW YORK, NY 10036 USA","Roman, C G, Reid, S E",English,NA,10.1891/0886-6708.27.5.811,NA,NA,NA,NA,1,47
