google_id,google_title,google_year,google_source,google_abstract,google_authors,google_title_simple
527,What Protests Can (And Can't) Do,2020,Five Thirty Eight,"… And, even some who say abolish, do not necessarily mean to do away with law enforcement altogether. Rather, they want to see the rotten trees of policing chopped down and fresh roots replanted anew … Below, I outline some of the main arguments for defunding the police …",S Mazumder,what protests can and cant do
542,Community policing: A contemporary perspective,2020,NA,"… He not only understood what policing needed for it to remain a viable and meaningful social institution, but he also understood the pitfalls and traps that could resurface along … His caution about the possibility of police reverting to its hyper-law enforcement orientation became …","VE Kappeler, LK Gaines, BP Schaefer",community policing a contemporary perspective
571,The Economics of Policing,2020,"Handbook of Labor, Human Resources and Population …","… This basic organization structure is found in all types of law enforcement agen- cies … are two dimensions along which Sheriff's department, State Police, Municipal Police, and Special … to which officers are tasked with what the public generally considers “policing” – responding to …",E Owens,the economics of policing
598,Problem‐oriented policing for reducing crime and disorder: An updated systematic review and meta‐analysis,2020,Campbell Systematic …,… and physical disorder. He also called for police to expand the tools of policing much beyond the law enforcement powers that are seen as the predominant tools of the standard model of policing. In Goldstein's view …,"JC Hinkle, D Weisburd, CW Telep, ...",problemoriented policing for reducing crime and disorder an updated systematic review and metaanalysis
601,"Police stress, mental health, and resiliency during the COVID-19 pandemic",2020,American journal of criminal justice,… together to share information during the coronavirus pandemic through the Police Executive Research … and resources like the American Society for Evidence-Based Policing's (ASEBP) COVID … Law enforcement training in rural agencies is also likely less dynamic and adaptive to …,"J Stogner, BL Miller, K McLean",police stress mental health and resiliency during the covid19 pandemic
791,Does Training Affect Rape and Domestic Violence Myth Endorsement Among Police Personnel? A Trend Analysis,2020,NA,"… Within the context of law enforcement officers across Texas, senate bill 586 Watson/Leave augmented the … it may be fruitful to focus on increasing female representation among police personnel. Women in policing have been beneficial in terms of fewer misconduct and use of …","C Franklin, A Garza, A Goodson, LA Bouffard",does training affect rape and domestic violence myth endorsement among police personnel a trend analysis
795,One size doesn't fit all: The deployment of police body-worn cameras to specialty units,2020,International Criminal Justice …,"Although body-worn cameras (BWCs) have diffused rapidly in law enforcement both in the United States and abroad, questions have emerged regarding the potential utility of BWCs for specialized polic...","JE Gaub, N Todak, MD White",one size doesnt fit all the deployment of police bodyworn cameras to specialty units
845,Does collective efficacy matter at the micro geographic level?: Findings from a study of street segments,2020,The British journal of …,Abstract. Many scholars argue that collective efficacy is not relevant to understanding crime at the microgeographic level. We examine variation in collective e.,"D Weisburd, C White, A Wooditch",does collective efficacy matter at the micro geographic level findings from a study of street segments
859,Impact of COVID-19 pandemic on drug overdoses in Indianapolis,2020,Journal of Urban …,"… Table 3 Counts of EMS overdose calls for service, disaggregated by age, race/ethnicity and zip code (top 5 by volume), before and after … Law enforcement data may be able to offer further insight into changes in illicitly trafficked substances and whether it mirrored the overdose …","N Glober, G Mohler, P Huynh, T Arkins, ...",impact of covid19 pandemic on drug overdoses in indianapolis
939,Measuring the direct and spillover effects of body worn cameras on the civility of police–citizen encounters and police work activities,2020,Journal of Quantitative …,"… For the more than 8000 general-purpose law enforcement agencies that did not deploy … theoretical perspectives generate the observed improvements in the civility of police-citizen encounters … 2018), or their willingness to engage proactive policing tactics, such as making self …","AA Braga, LM Barao, GM Zimmerman, ...",measuring the direct and spillover effects of body worn cameras on the civility of policecitizen encounters and police work activities
949,'One person's evidence is another person's nonsense': why police organizations resist evidence-based practices,2020,Policing: A Journal of Policy and Practice,"… Law enforcement agencies generally follow the traditional reactive model of policing which is … For example, police generally disapprove of civilian interference in their work (Mastrofski and … problem-oriented policing (Goldstein, 1979) and intelligence-led policing (Ratcliffe, 2008 …",H Kalyal,one persons evidence is another persons nonsense why police organizations resist evidencebased practices
952,"Policing the Police: The Impact of"" Pattern-or-Practice"" Investigations on Crime",2020,NA,"… The Violent Crime Control and Law Enforcement Act of 1994 limits the power to initiate … website.16 To obtain policing data, we contacted 26 police departments to obtain data on police-civilian … Data on police activity includes date, time …","T Devi, RG Fryer Jr",policing the police the impact of patternorpractice investigations on crime
977,"The effects of body-worn cameras on police-citizen encounters and police activity: evaluation of a pilot implementation in Philadelphia, PA",2020,Journal of Experimental Criminology,"… When they were initially conceived, BWCs were expected to change the behavior of both citizens and police by increasing their “self-awareness” (The President's Task Force on 21st Century Policing (“Task Force”) 2015, p. 32) …","ER Groff, C Haberman, JD Wood",the effects of bodyworn cameras on policecitizen encounters and police activity evaluation of a pilot implementation in philadelphia pa
71,The Canadian police performance metrics framework: Standardized indicators for police services in Canada,2019,Juristat: Canadian Centre for …,… the complexities of contemporary policing functions outside of strictly law enforcement activities … do not adequately reflect the complexity and scope of contemporary policing responsibilities … The Canadian Police Performance Metrics Framework (CPPMF) presented in this paper is …,"B Mazowita, C Rotenberg",the canadian police performance metrics framework standardized indicators for police services in canada
115,The 911 call processing system: A review of the literature as it relates to policing,2019,NA,"… The US Department of Justice (DOJ) launched the Law Enforcement Information Sharing Program (LEISP … The Police Data Initiative, a policing “community of practice” that includes police agencies, researchers, and technologists, provides a platform for police agencies to …","SR Neusteter, M Mapolski, M Khogali, M O'Toole",the 911 call processing system a review of the literature as it relates to policing
193,Technology in policing,2019,Police innovation: Contrasting …,"… calls for service. Although we cannot gauge modern policing without a centralized, computerized police dispatch center, the transition was nothing short of revolutionary at the time, with real benefits for members of the public, the police, and law enforcement more broadly …","B Ariel, D Weisberg, AA Braga",technology in policing
355,Police use of body worn cameras,2019,Police practice and research,… The surveillance aspect of BWCs suggests that the technology may result in de-policing by officers (Wallace et al … concept is also known as the 'Ferguson Effect' which suggests that the increased public scrutiny of law enforcement will lead to a reduction of police activity to …,E Laming,police use of body worn cameras
384,A light introduction to evidence based policing,2019,Evidence based policing: An introduction,"… This would possibly fall into a level 1 on the Maryland SMS or may not even make it to level 1. Police shootings, in addition to other issues in law enforcement, may not be viable for randomization, which is why the UK College of Policing advocates for the best …",RJ Mitchell,a light introduction to evidence based policing
388,Are domestic incidents really more dangerous to police? Findings from the 2016 National Incident Based Reporting System,2019,Justice Quarterly,"… report from the Department of Justice's Office of Community Oriented Policing Services (COPS) and the National Law Enforcement Officers Memorial Fund (NLEOMF). Upon observing that between 2010 and 2014, 22% of the 91 calls for service resulting in a police officer fatality …","J Nix, TN Richards, GM Pinchevsky, EM Wright",are domestic incidents really more dangerous to police findings from the 2016 national incident based reporting system
437,"Dirty data, bad predictions: How civil rights violations impact police data, predictive policing systems, and justice",2019,NYUL Rev. Online,"… It is the latest iteration of data-driven crime analysis techniques that law enforcement agencies are … 19 Few predictive policing vendors are fully transparent about how their systems operate, what … Despite these looming questions, one known fact is that historical police data is the …","R Richardson, JM Schultz, K Crawford",dirty data bad predictions how civil rights violations impact police data predictive policing systems and justice
498,"Police resources in Canada, 2018",2019,Juristat: Canadian Centre …,"… Expectations of police services continually expand beyond crime prevention and law enforcement … redesigned Police Administration Survey launched in 2018 provides insight not only on some of the cost-drivers for policing, but also information on how police services are …","P Conor, J Robson, S Marcellus",police resources in canada 2018
550,Same space–different perspectives: comparative analysis of geographic context through sketch maps and spatial video geonarratives,2019,International Journal …,"… These results are compared against police calls for service, which has previously been used to create hot spots through keyword selection … Police calls for service had also been acquired as an alternative to more traditional crime-related data …","A Curtis, JW Curtis, J Ajayakumar, ...",same spacedifferent perspectives comparative analysis of geographic context through sketch maps and spatial video geonarratives
562,Did de‐policing cause the increase in homicide rates?,2019,Criminology & Public Policy,"… Ample research findings have demonstrated the effectiveness of proactive policing practices, such as targeted patrol, in … is equally important, however, that residents of communities that have experienced unwarranted police violence believe that law enforcement is fairly …","R Rosenfeld, J Wallman",did depolicing cause the increase in homicide rates
573,Hot spots of crime are not just hot spots of crime: Examining health outcomes at street segments,2019,Journal of contemporary criminal …,"In this article, we seek to identify whether the relationship between health disparities and crime occurs at a micro-geographic level. Do hot spot streets evidence much higher levels of mental and ...","D Weisburd, C White",hot spots of crime are not just hot spots of crime examining health outcomes at street segments
606,Examining perceptions of online harassment among constables in England and Wales,2019,International Journal of …,"… Key Words; online harassment, cyberbullying, cyberstalking, policing, technology, cybercrime … victim bla- ming, which can reduce citizens' confidence in police agencies generally. However, local law enforcement agencies are increasingly mandated to respond to these cases …","TJ Holt, JR Lee, R Liggett, KM Holt, ...",examining perceptions of online harassment among constables in england and wales
638,Hot spots policing of small geographic areas effects on crime,2019,Campbell Systematic …,… The 2007 Law Enforcement Management and Administrative Statistics survey reported that nearly all police … The Police Executive Research Forum (2008) surveyed 176 US police departments and found that nearly 9 out of 10 agencies used hot spots policing strategies to …,"AA Braga, B Turchan, AV Papachristos, ...",hot spots policing of small geographic areas effects on crime
641,Measuring spatio-temporal accessibility to emergency medical services through big GPS data,2019,Health & place,"… accessibility (Fransen et al., 2015). This problem is particularly important for analyzing the demand for EMS and other similar context-sensitive services such as police calls-for-service (Luan et al., 2016). When an EMS is required …","T Xia, X Song, H Zhang, X Song, H Kanasugi, ...",measuring spatiotemporal accessibility to emergency medical services through big gps data
660,The impact of hot spots policing on collective efficacy: Findings from a randomized field trial,2019,Justice Quarterly,"… Standard police practice/control. Officers were not informed about the locations of the SPP hot spots. No special treatment was provided to these locations and policing activity continued as usual, generally consisting of response to calls for service and routine preventative patrols …","T Rinehart Kochel, D Weisburd",the impact of hot spots policing on collective efficacy findings from a randomized field trial
677,Renegotiating domestic violence: Police attitudes and decisions concerning arrest,2019,Policing and society,"… different levels of 'hostile' and 'benevolent' sexism that are associated with different law enforcement preferences when … a solution satisfactory to the majority of actors involved' including presumably the police themselves, 'can … The altered context of policing in England and Wales …",A Myhill,renegotiating domestic violence police attitudes and decisions concerning arrest
703,"Procedural injustice, police legitimacy, and officer gender: A vignette‐based test of the invariance thesis",2019,Behavioral sciences & the law,"… In recent years, a series of vignette‐based studies depicting hypothetical policing scenarios have assessed the link between procedural (in)justice stimuli and police legitimacy … But much of police work does not involve law enforcement, but rather responding to community …","KL Brown, MD Reisig",procedural injustice police legitimacy and officer gender a vignettebased test of the invariance thesis
781,Hot spots policing and crime reduction: an update of an ongoing systematic review and meta-analysis,2019,Journal of experimental …,"… The 2007 Law Enforcement Management and Administrative Statistics (LEMAS) survey reported that nearly all … In eligible studies, crime places that received the hot spots policing intervention were … Eligible studies had to measure the effects of police intervention on officially …","AA Braga, BS Turchan, AV Papachristos, ...",hot spots policing and crime reduction an update of an ongoing systematic review and metaanalysis
803,Conflicts and congruencies between predictive policing and the patrol officer's craft,2019,Policing and Society,"… Part of the craft of policing is not only understanding what will happen where when … with alacrity to avert potential officer harm are important elements of police craft and … concerned, sometimes even angry, about being unavailable or unable to answer calls for service outside of …","JH Ratcliffe, RB Taylor, R Fisher",conflicts and congruencies between predictive policing and the patrol officers craft
850,Updated protocol: The effects of problem‐oriented policing on crime and disorder: An updated systematic review,2019,Campbell Systematic …,"… se does not demand detailed analysis of the problem identified and often relies on a law enforcement response … Public Policy, Justice Quarterly, Journal of Research in Crime and Delinquency, Journal of Criminal Justice, Police Quarterly, Policing, Police Practice and …","D Weisburd, JC Hinkle, C Telep",updated protocol the effects of problemoriented policing on crime and disorder an updated systematic review
877,The “less-than-lethal weapons effect”—introducing TASERs to routine police operations in England and Wales: A randomized controlled trial,2019,Criminal justice and …,"… Copy to clipboard. Format, Tips on citation download. Download Citation. Download article citation data for: The “Less-Than-Lethal Weapons Effect”—Introducing TASERs to Routine Police Operations in England and Wales: A Randomized Controlled Trial …","B Ariel, D Lawes, C Weinborn, ...",the lessthanlethal weapons effectintroducing tasers to routine police operations in england and wales a randomized controlled trial
904,Platform policing and the real-time cop,2019,Surveillance & Society,"… 2013. Predictive Policing: The Role of Crime Forecasting in Law Enforcement. Santa Monica, CA: RAND Corporation. Raub, Richard. 1995. Manpower Allocation. In The Encyclopedia of Police Science, edited by William Bailey, 416-419. New York: Garland Publishing …",D Wilson,platform policing and the realtime cop
914,Police militarization in the United States,2019,Sociology Compass,"… Law enforcement agencies (LEAs) are rife with practices and terms that sound more like a branch of the … Thus, identifying the similarities and differences between the practice of policing and military work and what is actually meant by the term police militarization is an …","T Steidley, DM Ramey",police militarization in the united states
918,"Research on body‐worn cameras: What we know, what we need to know",2019,Criminology & public …,"… in American policing that spurred on the rapid adoption of BWCs. They reflect, however, long-incubating concerns in the United States about police authority and racial minorities as well as about police–community relations. These concerns include law enforcement's use of stop …","C Lum, M Stoltz, CS Koper, ...",research on bodyworn cameras what we know what we need to know
938,'There's a real disconnect': police officers' perceptions of their role in the absence from care reduction strategy,2019,NA,… This thesis integrates third party policing and procedural justice theories to examine in what ways the dedicated police officers understood their role in reducing preventable calls for service for children in residential care facilities …,A Lawrence,theres a real disconnect police officers perceptions of their role in the absence from care reduction strategy
973,Job exposure & occupational challenges: the importance of mindfulness for today's law enforcement professional,2019,"Crisis, Stress, and Human …","… doi.org/10.1016/j.avb.2018.08.005 Korre, M., Farioli, A., Varvarigou, V., Sato, S., & Kales, SN (2014). A survey of stress levels and time spent across law enforcement duties: Police chief and officer agreement. Policing: A Journal of Policy and Practice, 8(2), 109-122 …","O Johnson, C Russo, K Papazoglou",job exposure  occupational challenges the importance of mindfulness for todays law enforcement professional
61,What do police do and where do they do it?,2018,… Journal of Police …,"… What do police do and where do they do it? Kathryn E Wuschke, Martin A Andresen, Paul J Brantingham, Christopher Rattenbury, and Andrew Richards. International Journal of Police Science & Management 2017 20:1, 19-27 … What do police do and where do they do it …","KE Wuschke, MA Andresen, ...",what do police do and where do they do it
80,The cost of mental health-related calls on police service: Evidence from British Columbia,2018,Evidence-based policing: An …,"… a large number of police encounters with PwSMI often do not involve law enforcement and “involve … of considering increased, and more cost-effective, social services for this population aside from policing … that the PwSMI population places a significant cost on our police services …","AD Vaughan, MA Andresen",the cost of mental healthrelated calls on police service evidence from british columbia
113,The effect of 311 calls for service on crime in DC at microplaces,2018,Crime & delinquency,"… The Effect of 311 Calls for Service on Crime in DC at Microplaces. Andrew P. Wheeler. Crime & Delinquency 2017 64:14, 1882-1903 … The Effect of 311 Calls for Service on Crime in DC at Microplaces. Andrew P. Wheeler. Crime & Delinquency 2017 64:14, 1882-1903. Share. Share …",AP Wheeler,the effect of 311 calls for service on crime in dc at microplaces
163,Police Response To Mental Health-Related Calls for Service in the City of Watsonville: A Process Evaluation of the City of Watsonville's Plan to Assist Their Officers …,2018,NA,"Police officers respond to a variety of calls for service 24 hours a day, seven days a week, including mental-health related emergencies. With deinstitutionalization of individuals with severe mental illness, officers are often the first to be called to contact these individuals …",J Perez,police response to mental healthrelated calls for service in the city of watsonville a process evaluation of the city of watsonvilles plan to assist their officers 
164,Coffee shops and street stops: Policing practices in gentrifying neighborhoods,2018,Urban Affairs Review,"… Copy to clipboard. Format, Tips on citation download. Download Citation. Download article citation data for: Coffee Shops and Street Stops: Policing Practices in Gentrifying Neighborhoods. Ayobami Laniyonu. Urban Affairs Review 2017 54:5, 898-930. Download Citation …",A Laniyonu,coffee shops and street stops policing practices in gentrifying neighborhoods
239,Hot spots policing made easy,2018,Evidence Based Policing: An Introduction; Mitchell …,"… In short, that hot spot policing reduces crime and calls for service without creating negative reactions from the community (Braga et al, 2014). A strategy that reduces crime without reducing police legitimacy is necessary in today's policing environment …",RJ Mitchell,hot spots policing made easy
452,Individual and situational influences on injurious assaults against the police,2018,Policing: An International Journal,"… For example, Wilson and Zhao (2008) hypothesized that whereas community policing styles would reduce the likelihood of injurious assaults against the police, aggressive practices … Data were extracted from Law Enforcement Officers Killed and Assaulted (LEOKA), Law …","K Barrick, KJ Strom, N Richardson",individual and situational influences on injurious assaults against the police
543,Should police have access to genetic genealogy databases? Capturing the Golden State Killer and other criminals using a controversial new forensic …,2018,PLoS biology,… police access to genetic genealogy databases in particular may be desirable for reasons other than current public demand for them … Further research is warranted to determine if respondents' exposure to law enforcement occupations biased their approval of police access …,"CJ Guerrini, JO Robinson, D Petersen, ...",should police have access to genetic genealogy databases capturing the golden state killer and other criminals using a controversial new forensic 
590,The thin blue line meets the big blue sky: Perceptions of police legitimacy and public attitudes towards aerial drones,2018,Criminal Justice Studies,"… Conversely, individuals who believe law enforcement UAV use is an invasion of personal privacy are most likely to oppose police UAV use within proactive policing activities once controlling for other variables in this statistical model …","MSJ Heen, JD Lieberman, TD Miethe",the thin blue line meets the big blue sky perceptions of police legitimacy and public attitudes towards aerial drones
602,Police organizational change after implementing crime analysis and evidence-based strategies through stratified policing,2018,Policing: A Journal of Policy and Practice,"… for crime reduction efforts, similar to how a citizen's call to the police department starts … supervisors and establishing standards and best practices in the agency for basic law enforcement duties … 5 The implementation of crime analysis and stratified policing in the first year included …",RG Santos,police organizational change after implementing crime analysis and evidencebased strategies through stratified policing
714,Policing the risk society,2018,NA,"… While criminal law enforcement, order maintenance, and service pro- vision are obviously part of policing, they do not adequately capture the ways in which the police actually contribute to regulation, governance, and security …","RV Ericson, KD Haggerty",policing the risk society
721,Proactive policing: Effects on crime and communities,2018,NA,"… Officers, (3) with Separate Full-Time Community-Policing Units, 76 2-7 Police Departments in … Proactive Policing Strategies, 170 6-1 Community-Focused Elements in Community-Oriented Policing Interventions, 214 7-1 Racial/Ethnic Composition of Law Enforcement in the …","National Academies of Sciences, Engineering, and , ...",proactive policing effects on crime and communities
767,Barriers and facilitators to implementing an urban co-responding police-mental health team,2018,Health & …,"… Barriers and facilitators to implementing an urban co-responding police-mental health team … Co-response teams are typically an inter-agency collaboration between police and mental health professionals, and in some cases include emergency medical personnel …","K Bailey, SR Paquet, BR Ray, ...",barriers and facilitators to implementing an urban coresponding policemental health team
772,Progress toward national estimates of police use of force,2018,PloS one,"… 15,000 state and local law enforcement agencies in the US, a sample of about 3,000 agencies is sufficient to produce estimates of police behavior with … Much of what is known about policing in the US is derived from establishment surveys of law enforcement organizations …","JH Garner, MJ Hickman, RW Malega, CD Maxwell",progress toward national estimates of police use of force
